A1,3
AD,14
AE,3
AF,12
AG,14
AI,14
AL,11
AM,-1
AO,12
AR,0
AS,10
AT,11
AU,12
AW,9
AX,10
AZ,4
BA,5
BB,9
BD,-1
BE,11
BF,11
BG,-1
BH,12
BI,9
BJ,7
BM,14
BN,6
BO,3
BQ,13
BR,-1
BS,8
BT,7
BW,-1
BY,-1
BZ,8
CA,2
CD,-1
CF,13
CG,4
CH,3
CI,11
CK,10
CL,2
CM,-1
CN,7
CO,0
CR,11
CU,12
CV,8
CW,9
CY,-1
CZ,-1
DE,0
DJ,9
DK,6
DM,9
DO,1
DZ,0
EC,2
EE,-1
EG,0
ES,0
ET,11
EU,10
FI,11
FJ,7
FK,10
FM,-1
FO,10
FR,3
GA,7
GB,-1
GD,9
GE,11
GF,9
GG,10
GH,-1
GI,10
GL,9
GM,8
GN,-1
GP,8
GQ,14
GR,11
GT,-1
GU,8
GW,14
GY,5
HK,2
HN,2
HR,-1
HT,5
HU,3
ID,-1
IE,6
IL,2
IM,10
IN,-1
IO,10
IQ,-1
IR,-1
IS,-1
IT,0
JE,13
JM,-1
JO,1
JP,2
KE,12
KG,3
KH,0
KI,10
KM,-1
KN,13
KR,1
KW,0
KY,9
KZ,2
LA,3
LB,1
LC,8
LI,10
LK,2
LR,9
LS,9
LT,2
LU,8
LV,3
LY,3
MA,1
MC,10
MD,12
ME,8
MF,10
MG,9
MH,10
MK,12
ML,11
MM,-1
MN,-1
MO,8
MP,9
MQ,6
MR,-1
MT,8
MU,4
MV,8
MW,8
MX,-1
MY,-1
MZ,-1
NC,8
NE,8
NG,-1
NI,-1
NL,3
NO,6
NP,0
NR,10
NZ,12
OM,2
PA,-1
PE,2
PF,8
PG,8
PH,-1
PK,0
PL,3
PM,10
PR,-1
PS,-1
PT,3
PW,10
PY,3
QA,2
RE,-1
RO,2
RS,-1
RU,-1
RW,7
SA,1
SB,-1
SC,9
SD,-1
SE,-1
SG,3
SI,5
SK,-1
SL,6
SM,10
SN,-1
SO,-1
SR,5
SS,6
ST,10
SV,-1
SX,9
SY,3
SZ,9
TC,14
TD,14
TG,7
TH,-1
TJ,1
TK,10
TL,5
TM,8
TN,2
TO,13
TR,0
TT,5
TV,10
TW,3
TZ,-1
UA,1
UG,4
US,0
UY,4
UZ,1
VC,9
VE,-1
VG,13
VI,10
VN,-1
VU,13
WF,10
WS,9
YE,4
YT,9
ZA,2
ZM,3
ZW,8
